article,primary_category,all_categories,confidence,processing_time,error
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cooperative.md,Culture,"Culture, Social Issues, Business, Environment",0.9,2.636937379837036,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/air-force-inertia-axiom-consistency-always-easier-defend-correctness_chatgpt-4o.md/air-force-inertia-axiom-consistency-always-easier-defend-correctness_chatgpt-4o.md,Culture,"Culture, Social Issues, Ecology, Politics, Education, Business",0.95,3.1599361896514893,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_core-design-principles.md,Social Issues,"Social Issues, Culture, Health, Education",0.9,1.7476561069488525,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b74a.md/b74a.md,Culture,"Culture, Research, History, Social Issues, Education, Folklore",0.95,2.4761300086975098,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m130b.md/m130b.md,Culture,"Culture, Research, Folklore, Social Issues, History",0.9,2.3162219524383545,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/touchstone-determine-actual-worth-intellectual-find-feels-astrology-robert-heinlein_chatgpt-4o.md/touchstone-determine-actual-worth-intellectual-find-feels-astrology-robert-heinlein_chatgpt-4o.md,Culture,"Culture, Science, Social Issues, Philosophy, Education, Ecology",0.95,2.883355140686035,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/literature-surpressed-merely-affects-moral-code-censor-justice-william-douglas_gpt-4o-mini.md/literature-surpressed-merely-affects-moral-code-censor-justice-william-douglas_gpt-4o-mini.md,Culture,"Culture, Nature, Social Issues, Politics, Education",0.95,3.366670608520508,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1855.txt/1855.txt,Social Issues,"Social Issues, Culture, Community",0.9,3.528027057647705,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0486.txt/Stoicism_Buddhism_Epicureanism_Quotes_0486.txt,Culture,"Culture, Religion, Social Issues",0.9,3.4274063110351562,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cooperation.md,Science,"Science, Politics, Social Issues, Education, Culture, Environment",0.95,3.8030333518981934,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m130c.md/m130c.md,Culture,"Culture, Research, History, Education, Social Issues, Nature",0.95,1.356154441833496,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-future-right-boss-wrong_gpt-4o-mini.md/little-future-right-boss-wrong_gpt-4o-mini.md,Social Issues,"Social Issues, Culture, Politics, Business, Education",0.9,2.0121779441833496,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/alarming-increase-number-things-know-nothing_gpt-4o-mini.md/alarming-increase-number-things-know-nothing_gpt-4o-mini.md,Education,"Education, Science, Technology, Social Issues, Culture, Research",0.95,2.376049518585205,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0488.txt/Stoicism_Buddhism_Epicureanism_Quotes_0488.txt,Culture,"Culture, Politics, Philosophy",0.9,1.7805044651031494,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-inaccuracy-saves-world-explanation-c-e-ayres_chatgpt-4o.md/little-inaccuracy-saves-world-explanation-c-e-ayres_chatgpt-4o.md,Philosophy,"Philosophy, Ecology, Culture, Science, Education",0.95,1.7920334339141846,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_correlation.md,Education,"Education, Culture, Social Issues, Science",0.9,2.1434614658355713,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_creationism.md,Science,"Science, Education, Culture, Social Issues",0.95,1.5043933391571045,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/alas-studied-philosophy-jurisprudence-medicine-worst-theology-keen-endeavor_gpt-4o-mini.md/alas-studied-philosophy-jurisprudence-medicine-worst-theology-keen-endeavor_gpt-4o-mini.md,Philosophy,"Philosophy, Education, Culture, Social Issues",0.95,2.1626882553100586,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1858.txt/1858.txt,Business,"Business, Marketing, Technology",0.9,1.8109259605407715,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0489.txt/Stoicism_Buddhism_Epicureanism_Quotes_0489.txt,Culture,"Culture, Religion, Philosophy, Social Issues",0.9,1.7671821117401123,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/traditionally-people-turned-divination-system-divination-really-help-whether-turtle_gpt-4o-mini.md/traditionally-people-turned-divination-system-divination-really-help-whether-turtle_gpt-4o-mini.md,Culture,"Culture, Social Issues, Ecology, Philosophy, Education",0.9,2.219365119934082,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/traditionally-australias-imports-come-overseas-keppel-enderbery_gpt-4o-mini.md/traditionally-australias-imports-come-overseas-keppel-enderbery_gpt-4o-mini.md,Culture,"Culture, Economy, Globalization, Social Issues, Anthropology",0.95,2.943751096725464,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1857.txt/1857.txt,Technology,"Technology, Social Issues, Culture",0.7,2.920090913772583,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b74b.md/b74b.md,Culture,"Culture, Research, History, Social Issues, Education, Folklore",0.95,2.8758902549743652,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b75a.md/b75a.md,Culture,"Culture, Research, History, Nature, Social Issues",0.95,2.1521379947662354,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1859.txt/1859.txt,Culture,"Culture, Education, Philosophy",0.9,2.0918450355529785,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m131.md/m131.md,Culture,"Culture, Social Issues, Education, History, Research",0.95,2.5165719985961914,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/traveled-end-rainbow-dame-fortune-intend-murphy-would-tell-pots-end_gpt-4o-mini.md/traveled-end-rainbow-dame-fortune-intend-murphy-would-tell-pots-end_gpt-4o-mini.md,Culture,"Culture, Social Issues, Education, Science",0.9,2.288015842437744,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0490.txt/Stoicism_Buddhism_Epicureanism_Quotes_0490.txt,Culture,"Culture, Social Issues, Philosophy, Education",0.9,2.1893351078033447,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/albrechts-law-social-innovations-tend-level-minimum-tolerable-well-being_chatgpt-4o.md/albrechts-law-social-innovations-tend-level-minimum-tolerable-well-being_chatgpt-4o.md,Social Issues,"Social Issues, Culture, Education, Science, Health, Politics",0.95,2.616201400756836,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m132.md/m132.md,Culture,"Culture, Social Issues, History, Education, Research",0.95,2.339481830596924,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1860.txt/1860.txt,Culture,"Culture, Education, Philosophy",0.9,1.6997044086456299,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-known-fact-cows-domesticated-mesopotamia-also-used-china-guard-animals_gpt-4o-mini.md/little-known-fact-cows-domesticated-mesopotamia-also-used-china-guard-animals_gpt-4o-mini.md,Culture,"Culture, History, Science, Social Issues, Ethics",0.95,3.152080535888672,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0491.txt/Stoicism_Buddhism_Epicureanism_Quotes_0491.txt,Culture,"Culture, Philosophy, Education, Science",0.9,1.7804923057556152,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m132a.md/m132a.md,Culture,"Culture, Science, Education",0.9,1.8723347187042236,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/alcohol-anesthesia-endure-operation-life-george-bernard-shaw_chatgpt-4o.md/alcohol-anesthesia-endure-operation-life-george-bernard-shaw_chatgpt-4o.md,Culture,"Culture, Social Issues, Health, Philosophy, Ecology, Ethics",0.95,2.730851173400879,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0492.txt/Stoicism_Buddhism_Epicureanism_Quotes_0492.txt,Philosophy,"Philosophy, Science, Culture",0.9,1.188086748123169,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_crohns-disease.md,Health,"Health, Science, Social Issues, Culture",0.9,1.8562448024749756,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_creationist.md,Science,"Science, Education, Culture, Social Issues",0.9,3.1917762756347656,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/tree-moves-tears-joy-eyes-others-green-thing-stands-way-see-nature-al_gpt-4o-mini.md/tree-moves-tears-joy-eyes-others-green-thing-stands-way-see-nature-al_gpt-4o-mini.md,Culture,"Culture, Environment, Science, Social Issues",0.95,1.872649908065796,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1861.txt/1861.txt,Science,"Science, Culture, Philosophy",0.95,1.9567804336547852,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/alimony-high-cost-leaving_chatgpt-4o.md/alimony-high-cost-leaving_chatgpt-4o.md,Social Issues,"Social Issues, Culture, Legal, Health, Education, Politics",0.95,1.336306095123291,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b75b1.md/b75b1.md,Culture,"Culture, Research, History, Social Issues, Folklore, Nature",0.95,2.624176025390625,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/aldens-laws-1-giving-away-baby-clothes-furniture-major-cause-pregnancy-2-always_chatgpt-4o.md/aldens-laws-1-giving-away-baby-clothes-furniture-major-cause-pregnancy-2-always_chatgpt-4o.md,Culture,"Culture, Social Issues, Ecology, Education, Science, Human Behavior",0.95,2.4120635986328125,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b75b.md/b75b.md,Culture,"Culture, Research, Folklore, History, Social Issues, Education",0.95,3.767503261566162,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-known-fact-tan-became-popular-known-bronze-age-cliff-clavin_gpt-4o-mini.md/little-known-fact-tan-became-popular-known-bronze-age-cliff-clavin_gpt-4o-mini.md,Culture,"Culture, History, Social Issues, Technology, Education, Research",0.95,2.5485153198242188,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0493.txt/Stoicism_Buddhism_Epicureanism_Quotes_0493.txt,Culture,"Culture, Philosophy, Science",0.9,1.1680223941802979,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/live-age-hundred-made-people-die-past-age-hundred-george-burns_gpt-4o-mini.md/live-age-hundred-made-people-die-past-age-hundred-george-burns_gpt-4o-mini.md,Health,"Health, Culture, Philosophy, Social Issues",0.9,1.6233954429626465,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b75c.md/b75c.md,Culture,"Culture, Social Issues, History, Research",0.9,2.130998134613037,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/traveling-new-england-motorist-stopped-gas-tiny-village-whats-place-called-asked_gpt-4o-mini.md/traveling-new-england-motorist-stopped-gas-tiny-village-whats-place-called-asked_gpt-4o-mini.md,Culture,"Culture, Social Issues, Ecology, Anthropology, Environment, Philosophy",0.95,3.315683126449585,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cultural-design.md,Culture,"Culture, Social Issues, Science, Business",0.95,2.1184473037719727,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1862.txt/1862.txt,Culture,"Culture, Social Issues, Entertainment",0.9,1.5479631423950195,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1863.txt/1863.txt,Culture,"Culture, Science, Nature",0.9,1.1514899730682373,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-known-fact-smartest-animal-pig-scientists-say-pigs-thumbs-language-could_gpt-4o-mini.md/little-known-fact-smartest-animal-pig-scientists-say-pigs-thumbs-language-could_gpt-4o-mini.md,Culture,"Culture, Ethics, Science, Social Issues, Environment",0.95,3.987578868865967,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0494.txt/Stoicism_Buddhism_Epicureanism_Quotes_0494.txt,Culture,"Culture, Social Issues, Education, Science",0.9,1.4192371368408203,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/all-bad-poetry-springs-from-genuine-feeling-wrote-oscar-wilde-and-i-would-like-to_chatgpt-4o.md/all-bad-poetry-springs-from-genuine-feeling-wrote-oscar-wilde-and-i-would-like-to_chatgpt-4o.md,Politics,"Politics, Social Issues, Culture, Ecology, Education, Research",0.95,1.9119768142700195,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m133.md/m133.md,Culture,"Culture, Research, Education, Science, Social Issues, History",0.95,3.343597888946533,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1864.txt/1864.txt,Social Issues,"Social Issues, Culture, Technology",0.85,1.4520189762115479,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b75d.md/b75d.md,Culture,"Culture, Research, Science, Education, Social Issues",0.95,2.787855625152588,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/live-city-eat-produce-food-limited-space-city-absol_gpt-4o-mini.md/live-city-eat-produce-food-limited-space-city-absol_gpt-4o-mini.md,Social Issues,"Social Issues, Economy, Culture, Environment, Health, Technology",0.95,2.5715582370758057,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m134.md/m134.md,Culture,"Culture, Education, Research, Social Issues, History, Folklore",0.95,2.913456439971924,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/trouble-eating-italian-food-five-six-days-later-youre-hungry-george-miller_gpt-4o-mini.md/trouble-eating-italian-food-five-six-days-later-youre-hungry-george-miller_gpt-4o-mini.md,Culture,"Culture, Social Issues, Ecology, Food, Philosophy",0.95,2.5789237022399902,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0495.txt/Stoicism_Buddhism_Epicureanism_Quotes_0495.txt,Culture,"Culture, Social Issues, Philosophy",0.9,1.831897258758545,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cultural-evolution.md,Culture,"Culture, Education, Science, Social Issues, Research, Anthropology",0.95,2.9445154666900635,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/live-intention-walk-edge-listen-hard-practice-wellness-play-abandon-laugh-choose_gpt-4o-mini.md/live-intention-walk-edge-listen-hard-practice-wellness-play-abandon-laugh-choose_gpt-4o-mini.md,Wellness,"Wellness, Ecology, Culture, Education",0.95,2.1195030212402344,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/allens-axiom-else-fails-read-instructions_chatgpt-4o.md/allens-axiom-else-fails-read-instructions_chatgpt-4o.md,Culture,"Culture, Education, Science, Social Issues, Research, Philosophy",0.95,2.3689169883728027,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/tripped-hole-sticking-ground_gpt-4o-mini.md/tripped-hole-sticking-ground_gpt-4o-mini.md,Culture,"Culture, Social Issues, Ecology, Education, Science",0.95,3.764545202255249,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m134a.md/m134a.md,Culture,"Culture, Education, Research, History, Social Issues, Nature",0.95,2.7215700149536133,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b76.md/b76.md,Culture,"Culture, History, Research, Social Issues, Science, Environment",0.95,2.877012014389038,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cultural-transmission.md,Culture,"Culture, Social Issues, Science, Education",0.95,1.944542646408081,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/live-learn-dont-live-long-robert-heinlein-time-enough-love_gpt-4o-mini.md/live-learn-dont-live-long-robert-heinlein-time-enough-love_gpt-4o-mini.md,Education,"Education, Culture, Social Issues, Science",0.95,1.6639273166656494,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b77.md/b77.md,Culture,"Culture, History, Research, Science, Social Issues, Education",0.95,2.4363369941711426,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_cultural-group-selection.md,Culture,"Culture, Politics, Business, Social Issues",0.9,2.97290301322937,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/trouble-people-broken-habit-usually-pieces-mounted-framed-ivern-boyett_gpt-4o-mini.md/trouble-people-broken-habit-usually-pieces-mounted-framed-ivern-boyett_gpt-4o-mini.md,Ecology,"Ecology, Social Issues, Culture, Education",0.95,1.7082595825195312,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1865.txt/1865.txt,Social Issues,"Social Issues, Culture, Ecology",0.8,1.64003324508667,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m134b.md/m134b.md,Culture,"Culture, History, Social Issues, Nature, Education, Folklore",0.9,3.112708806991577,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/alliance-international-politics-union-two-thieves-hands-deeply-inserted-others_chatgpt-4o.md/alliance-international-politics-union-two-thieves-hands-deeply-inserted-others_chatgpt-4o.md,Social Issues,"Social Issues, Politics, Culture, Ethics, Science, Education",0.95,2.659432888031006,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0496.txt/Stoicism_Buddhism_Epicureanism_Quotes_0496.txt,Culture,"Culture, Health, Social Issues, Education",0.9,2.1287293434143066,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/live-moment-history-change-speeded-begin-see-present-already-disappeari_gpt-4o-mini.md/live-moment-history-change-speeded-begin-see-present-already-disappeari_gpt-4o-mini.md,Culture,"Culture, Technology, Social Issues, Health",0.9,1.7761402130126953,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1866.txt/1866.txt,Politics,"Politics, History, Social Issues",0.9,1.8440146446228027,
