# hf-rights.tsv — rights tier per source group (SKELETON: machine-guessed, REVIEW REQUIRED)
#
# Format: <path-prefix>\t<tier>   (longest prefix wins; trailing comments ignored)
# Tiers:
#   original      — Gary Dean's own work or AI-generated content; full text publishable (CC BY 4.0)
#   public-domain — verified public-domain work AND translation; full text publishable
#   cc0           — dedicated to the public domain by the rights holder; full text publishable
#   cc-by         — Creative Commons Attribution; full text publishable with attribution
#   cc-by-nc      — Attribution-NonCommercial; NOT exported (release carries no NC terms)
#   cc-by-nc-nd   — Attribution-NonCommercial-NoDerivatives; NOT exported (see note below)
#   cc-by-nc-sa   — Attribution-NonCommercial-ShareAlike; NOT exported
#   copyrighted   — third-party in-copyright (or unverified); catalogue metadata only, text NEVER exported
#
# Only original, public-domain, cc0 and cc-by are exportable; mk-hf-catalogue.sh
# holds that allowlist and decides text_included from it. Adding a tier name here
# does NOT make it exportable — the allowlist must be changed deliberately.
#
# ▲ NoDerivatives: extracted articles store narrative sections only, i.e. an
# abridgement. Distributing that is making a derivative, so ND material stays
# unexported even where non-commercial use would otherwise be fine.
#
# Defaults are conservative: everything unrecognised is marked copyrighted.
# Sub-paths may override their parent group (longest match wins), e.g. zenquotes/discourse.md below.
#
Spinoza	public-domain	# 2 docs	# PD original — verify translation vintage
Stefano_Bettera	copyrighted	# 4 docs
stoicism	copyrighted	# 1 docs
Stoicism_Buddhism_Epicureanism_Quotes	copyrighted	# 1218 docs
subcultures	copyrighted	# 1 docs
sumarah	copyrighted	# 6 docs
Taboo-Education_Why-Are-Americans-So-Bloody-Stupid.md	copyrighted	# 1 docs
the-concept-of-dharma-in-the-ramayana.md	copyrighted	# 1 docs
the-controversial-science-of-iq-culture.txt	copyrighted	# 1 docs
The-Dhammapada.md	copyrighted	# 1 docs
the-end-of-the-open-society.md	copyrighted	# 1 docs
the_network_state.md	copyrighted	# 1 docs
the_prince	copyrighted	# dir default: Machiavelli_lecture.md is a modern lecture; the-art-of-war-in-the-modern-world.md is a 2023 piece built round JFK's 1961 address
the_prince/the_prince.md	public-domain	# tr. W. K. Marriott (1908) — translator stated in the file
The-Republic_Plato.md	public-domain	# 1 docs	# PD original — verify translation vintage
The_World_As_Will_And_Idea.md	public-domain	# 1 docs	# PD original — verify translation vintage
Tom-Scryleus_The-Scary-Truth-About-Work.md	copyrighted	# 1 docs
Tony_Seba	copyrighted	# 2 docs
transcripts	copyrighted	# 12 docs
tribalism	copyrighted	# 2 docs
Tyranny_of_Merit	copyrighted	# 1 docs
Ubuntu	copyrighted	# 4 docs
_uncategorized_	copyrighted	# 12 docs
_unprocessed_	copyrighted	# 9 docs
Urantia	public-domain	# 1 docs
View_from_Space.md	copyrighted	# 1 docs
Walls	copyrighted	# 1 docs
war-violence-sport	copyrighted	# 7 docs
websearch_data	copyrighted	# 1 docs
what-is-dharma.md	copyrighted	# 1 docs
What-The-Mandalorian-Gets-Right-About-Real-World-Religions.md	copyrighted	# 1 docs
Who-is-really-enlightened.md	copyrighted	# 1 docs
Why-Fictional-Religions-Feel-So-Fake.md	copyrighted	# 1 docs
Why-Humans-Are-Better-Than-We-Think.md	copyrighted	# 1 docs
wittgenstein_on-art-ethics-and-how-language-fails.md	copyrighted	# 1 docs
wokeism	copyrighted	# 1 docs
Wrangham	copyrighted	# 2 docs
yamnaya.md	copyrighted	# 1 docs
Yanis-Varoufakis_Technofeudalism-What-Killed-Capitalism_2023.md	copyrighted	# 1 docs
yt_transcripts	copyrighted	# 1581 docs
Yuval-Harari	copyrighted	# 2 docs
zen	copyrighted	# 3 docs
Zen_Mind	copyrighted	# 1 docs
zenquotes	copyrighted	# 5948 docs
zoonpolitikon	copyrighted	# 1 docs
